epci2020;semaine_glissante;clage_65;ti
200054807;2020-10-08-2020-10-14;0;279.6
242100410;2020-10-08-2020-10-14;0;212.3
242900314;2020-10-08-2020-10-14;0;102.7
243100518;2020-10-08-2020-10-14;0;309.6
243300316;2020-10-08-2020-10-14;0;141.3
243400017;2020-10-08-2020-10-14;0;283.4
243500139;2020-10-08-2020-10-14;0;138.2
243700754;2020-10-08-2020-10-14;0;223.5
244200770;2020-10-08-2020-10-14;0;694.4
244400404;2020-10-08-2020-10-14;0;163.9
244500468;2020-10-08-2020-10-14;0;235.4
245400676;2020-10-08-2020-10-14;0;173.3
245900410;2020-10-08-2020-10-14;0;618.2
246300701;2020-10-08-2020-10-14;0;300.8
246700488;2020-10-08-2020-10-14;0;195.6
248300543;2020-10-08-2020-10-14;0;133.4
200023414;2020-10-09-2020-10-15;0;275.5
200030195;2020-10-09-2020-10-15;0;150.7
200039865;2020-10-09-2020-10-15;0;168.5
200040715;2020-10-09-2020-10-15;0;527.6
200046977;2020-10-09-2020-10-15;0;543.4
200054781;2020-10-09-2020-10-15;0;399.5
200054807;2020-10-09-2020-10-15;0;300.5
242100410;2020-10-09-2020-10-15;0;224
242900314;2020-10-09-2020-10-15;0;109.1
243100518;2020-10-09-2020-10-15;0;328.6
243300316;2020-10-09-2020-10-15;0;142.3
243400017;2020-10-09-2020-10-15;0;300.1
243500139;2020-10-09-2020-10-15;0;143.9
243700754;2020-10-09-2020-10-15;0;224.1
244200770;2020-10-09-2020-10-15;0;747.9
244400404;2020-10-09-2020-10-15;0;176.4
244500468;2020-10-09-2020-10-15;0;241.2
245400676;2020-10-09-2020-10-15;0;180.2
245900410;2020-10-09-2020-10-15;0;656.2
246300701;2020-10-09-2020-10-15;0;316.6
246700488;2020-10-09-2020-10-15;0;227.5
248300543;2020-10-09-2020-10-15;0;152.2
200023414;2020-10-10-2020-10-16;0;292.3
200030195;2020-10-10-2020-10-16;0;163
200039865;2020-10-10-2020-10-16;0;182.5
200040715;2020-10-10-2020-10-16;0;555.8
200046977;2020-10-10-2020-10-16;0;586.5
200054781;2020-10-10-2020-10-16;0;410.1
200054807;2020-10-10-2020-10-16;0;318.9
242100410;2020-10-10-2020-10-16;0;241.7
242900314;2020-10-10-2020-10-16;0;110.3
243100518;2020-10-10-2020-10-16;0;343.9
243300316;2020-10-10-2020-10-16;0;145.5
243400017;2020-10-10-2020-10-16;0;306.1
243500139;2020-10-10-2020-10-16;0;152.2
243700754;2020-10-10-2020-10-16;0;240.4
244200770;2020-10-10-2020-10-16;0;789.7
244400404;2020-10-10-2020-10-16;0;197.2
244500468;2020-10-10-2020-10-16;0;249.9
245400676;2020-10-10-2020-10-16;0;195
245900410;2020-10-10-2020-10-16;0;679.9
246300701;2020-10-10-2020-10-16;0;338.6
246700488;2020-10-10-2020-10-16;0;249.9
248300543;2020-10-10-2020-10-16;0;177.2
200023414;2020-10-11-2020-10-17;0;287.1
200030195;2020-10-11-2020-10-17;0;164.5
200039865;2020-10-11-2020-10-17;0;184.2
200040715;2020-10-11-2020-10-17;0;570.9
200046977;2020-10-11-2020-10-17;0;597.8
200054781;2020-10-11-2020-10-17;0;416.3
200054807;2020-10-11-2020-10-17;0;326
242100410;2020-10-11-2020-10-17;0;250.9
242900314;2020-10-11-2020-10-17;0;105.5
243100518;2020-10-11-2020-10-17;0;353.4
243300316;2020-10-11-2020-10-17;0;145
243400017;2020-10-11-2020-10-17;0;308.8
243500139;2020-10-11-2020-10-17;0;158
243700754;2020-10-11-2020-10-17;0;238.8
244200770;2020-10-11-2020-10-17;0;819.4
244400404;2020-10-11-2020-10-17;0;205.5
244500468;2020-10-11-2020-10-17;0;252.2
245400676;2020-10-11-2020-10-17;0;200.6
245900410;2020-10-11-2020-10-17;0;684.4
246300701;2020-10-11-2020-10-17;0;348.6
246700488;2020-10-11-2020-10-17;0;257
248300543;2020-10-11-2020-10-17;0;184.5
200023414;2020-10-12-2020-10-18;0;278.1
200030195;2020-10-12-2020-10-18;0;164.2
200039865;2020-10-12-2020-10-18;0;185.7
200040715;2020-10-12-2020-10-18;0;575.4
200046977;2020-10-12-2020-10-18;0;598.9
200054781;2020-10-12-2020-10-18;0;417.4
200054807;2020-10-12-2020-10-18;0;328.9
242100410;2020-10-12-2020-10-18;0;260.7
242900314;2020-10-12-2020-10-18;0;114.5
